Tag	Full Name	Flavor Text	IsAugSlot	Major Group	Sub Group	Protector	Surgical Parent
BrainStem	Brain Stem	Affects wakefulness and metabolism.	0	BRAIN	HEAD	Skull	None
StemAug	Brain Stem Augmentation	Affects wakefulness and metabolism.	1	BRAIN	HEAD	Skull	Brain Stem
Cerebellum	Cerebellum	Determines maximum agility.	0	BRAIN	HEAD	Skull	None
CerAug	Cerebellum Augmentation	Determines maximum agility.	1	BRAIN	HEAD	Skull	Cerebellum
Frontal	Frontal Lobe	Affects diplomacy, emotional control, critical thinking, charm and threat.	0	BRAIN	HEAD	Skull	None
FroAug	Frontal Lobe Augmentation	Affects diplomacy, emotional control, critical thinking, charm and threat.	1	BRAIN	HEAD	Skull	Frontal Lobe
Parietal	Parietal Lobe	Determines maximum spatial sense. Affects pain tolerance and diplomacy.	0	BRAIN	HEAD	Skull	None
ParAug	Parietal Lobe Augmentation	Determines maximum spatial sense. Affects pain tolerance and diplomacy.	1	BRAIN	HEAD	Skull	Parietal Lobe
Occipital	Occipital Lobe	Determines maximum visual detail, and visible spectra.	0	BRAIN	HEAD	Skull	None
OccAug	Occipital Lobe Augmentation	Determines maximum visual detail, and visible spectra.	1	BRAIN	HEAD	Skull	Occipital Lobe
Temporal	Temporal Lobe	Affects critical thinking and diplomacy.	0	BRAIN	HEAD	Skull	None
TemAug	Temporal Lobe Augmentation	Affects critical thinking and diplomacy.	1	BRAIN	HEAD	Skull	Temporal Lobe
Hypothalamus	Hypothalamus	Affects wakefullness and metabolism.	0	BRAIN	HEAD	Skull	None
HypAug	Hypothalamus Augmentation	Affects wakefullness and metabolism.	1	BRAIN	HEAD	Skull	Hypothalamus
Pituitary	Pituitary Gland	Greatly affects stress response and pain tolerance.	0	BRAIN	HEAD	Skull	None
PitAug	Pituitary Gland Augmentation	Greatly affects stress response and pain tolerance.	1	BRAIN	HEAD	Skull	Pituitary Gland
Pineal	Pineal Gland	Greatly affects wakefulness.	0	BRAIN	HEAD	Skull	None
PinAug	Pineal Gland Augmentation	Greatly affects wakefulness.	1	BRAIN	HEAD	Skull	Pineal Gland
Thalamus	Thalamus	Affects alertness and pain tolerance.	0	BRAIN	HEAD	Skull	None
ThaAug	Thalamus Augmentation	Affects alertness and pain tolerance.	1	BRAIN	HEAD	Skull	Thalamus
Basal	Basal Ganglia	Determines maximum deftness and fine motor function.	0	BRAIN	HEAD	Skull	None
BasAug	Basal Ganglia Augmentation	Determines maximum deftness and fine motor function.	1	BRAIN	HEAD	Skull	Basal Ganglia
Limbic	Limbic System	Affects emotional control and threat rating.	0	BRAIN	HEAD	Skull	None
LimAug	Limbic System Augmentation	Affects emotional control and threat rating.	1	BRAIN	HEAD	Skull	Limbic System
Heart	Heart	With the lungs, determines maximum organic load. Offers a minor augmentation load boost.	0	ORGANS	CHEST	Rib Cage	None
HeartAug	Heart Augmentation	With the lungs, determines maximum organic load. Offers a minor augmentation load boost.	1	ORGANS	CHEST	Rib Cage	Heart
Stomach	Stomach	Affects metabolic efficiency.	0	ORGANS	ABDOMEN	None	None
StomachAug	Stomach Augmentation	Affects metabolic efficiency.	1	ORGANS	ABDOMEN	None	Stomach
Intestines	Intestines	Affects metabolic efficiency.	0	ORGANS	ABDOMEN	None	None
IntestineAug	Intestine Augmentation	Affects metabolic efficiency.	1	ORGANS	ABDOMEN	None	Intestines
Adrenal	Adrenal Gland	Boosts all physical attributes, reflex, stress response and pain tolerance.	0	ORGANS	ABDOMEN	None	None
AdrenalAug	Adrenal Gland Augmentation	Boosts all physical attributes, reflex, stress response and pain tolerance.	1	ORGANS	ABDOMEN	None	Adrenal Gland
Thyroid	Thyroid	Affects metabolic efficiency.	0	ORGANS	THROAT	Jaw	None
ThyroidAug	Thyroid Augmentation	Affects metabolic efficiency.	1	ORGANS	THROAT	Jaw	Thyroid
BArmRU	Right Humerus	Sets the cap for right arm press force.	0	SKELETAL	RIGHT ARM	Right Upper Arm	Right Upper Arm
